gamma,p,d_static,alpha_static,F_raw,F_static,Y_static,R_static,d_adaptive,alpha_adaptive,F_adaptive,Y_adaptive,R_adaptive,delta_F,delta_Y,delta_T
0.060000000000000005,0.18000000000000002,1,0.47894737124443054,0.7952515108746454,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.19,1,0.47894737124443054,0.7855561511598128,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.060000000000000005,0.2,1,0.47894737124443054,0.77586079144498,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.01,1,0.6052631735801697,0.9550388872886553,0.0,0.0,0.0,1,0.6052631735801697,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.02,3,0.5210526585578918,0.9453952365276624,0.0,0.0,0.0,1,0.6052631735801697,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.03,3,0.47894737124443054,0.9357515857666694,0.0,0.0,0.0,1,0.6052631735801697,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.04,1,0.5631579160690308,0.9261079350056763,0.0,0.0,0.0,1,0.4368421137332916,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.05,1,0.5210526585578918,0.9164642842446833,0.8980055411169536,0.5,100.0,1,0.47894737124443054,0.0,0.0,-10000.0,-0.8980055411169536,-0.5,-10100.0
0.06999999999999999,0.060000000000000005,1,0.47894737124443054,0.9068206334836905,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.06999999999999999,1,0.47894737124443054,0.8971769827226977,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.08,1,0.47894737124443054,0.8875333319617046,0.0,0.0,0.0,1,0.47894737124443054,0.8508710447061183,0.5,-9900.0,0.8508710447061183,0.5,-9900.0
0.06999999999999999,0.09,1,0.47894737124443054,0.8778896812007116,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.06999999999999999,0.09999999999999999,1,0.47894737124443054,0.8682460304397186,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
